Name	Installation Count (June 2025)	Java 25 pull request	Is merged?
maven-metadata-plugin	1685		FALSE
sbt	1680		FALSE
chromedriver	1671		FALSE
opentelemetry	1663		FALSE
console-column-plugin	1640		FALSE
envfile	1637		FALSE
codedeploy	1636		FALSE
kpp-management-plugin	1629		FALSE
google-play-android-publisher	1625		FALSE
openshift-client	1624		FALSE
people-view	1623		FALSE
declarative-pipeline-migration-assistant-api	1603		FALSE
database-mysql	1600		FALSE
ldapemail	1597		FALSE
maven-dependency-update-trigger	1594		FALSE
fail-the-build-plugin	1587		FALSE
junit-realtime-test-reporter	1581		FALSE
kubernetes-cd	1574		FALSE
downstream-build-cache	1569		FALSE
browserstack-integration	1563		FALSE
build-metrics	1560		FALSE
project-stats-plugin	1549		FALSE
xray-connector	1549		FALSE
text-finder-run-condition	1538		FALSE
build-history-metrics-plugin	1531		FALSE
secondary-timestamper-plugin	1531		FALSE
vsphere-cloud	1531		FALSE
aws-lambda	1529		FALSE
findbugs	1519		FALSE
compact-columns	1501		FALSE
run-condition-extras	1499		FALSE
splunk-devops-extend	1495		FALSE
violation-comments-to-gitlab	1490		FALSE
unity3d-plugin	1489		FALSE
google-storage-plugin	1479		FALSE
pmd	1477		FALSE
filesystem-list-parameter-plugin	1472		FALSE
slave-status	1472		FALSE
android-emulator	1471		FALSE
clone-workspace-scm	1449		FALSE
buildresult-trigger	1443		FALSE
discord-notifier	1443		FALSE
build-notifications	1440		FALSE
maven-repo-cleaner	1435		FALSE
svncompat14	1434		FALSE
fortify	1431		FALSE
image-tag-parameter	1416		FALSE
pipeline-config-history	1398		FALSE
codesonar	1397		FALSE
sonargraph-integration	1383		FALSE
vstestrunner	1383		FALSE
disable-job-button	1376		FALSE
sqlplus-script-runner	1369		FALSE
custom-folder-icon	1368		FALSE
ez-templates	1363		FALSE
yet-another-build-visualizer	1361		FALSE
keycloak	1355		FALSE
template-project	1348		FALSE
test-results-aggregator	1345		FALSE
pipeline-cps-http	1339		FALSE
multiselect-parameter	1326		FALSE
any-buildstep	1325		FALSE
pollscm	1308		FALSE
scoring-load-balancer	1301		FALSE
artifact-promotion	1299		FALSE
modernstatus	1283		FALSE
sloccount	1280		FALSE
downstream-ext	1270		FALSE
groovy-label-assignment	1269		FALSE
aws-codebuild	1264		FALSE
summary_report	1251		FALSE
scm-sync-configuration	1245		FALSE
aws-bucket-credentials	1241		FALSE
azure-keyvault	1236		FALSE
sonar-gerrit	1233		FALSE
instant-messaging	1232		FALSE
jobcacher	1231		FALSE
clearcase	1224		FALSE
windows-azure-storage	1224		FALSE
azure-cli	1223		FALSE
github-pr-coverage-status	1208		FALSE
ownership	1204		FALSE
readonly-parameters	1202		FALSE
google-compute-engine	1200		FALSE
declarative-pipeline-migration-assistant	1195		FALSE
repository	1189		FALSE
nant	1187		FALSE
veracode-scan	1182		FALSE
slack-uploader	1175		FALSE
mysql-api	1173		FALSE
hp-application-automation-tools-plugin	1164		FALSE
aws-parameter-store	1153		FALSE
database-postgresql	1149		FALSE
templating-engine	1134		FALSE
jira-ext	1129		FALSE
