plugin_name,install_count,pr_url,is_merged,build_status
gitee,2505,FALSE,,not_in_csv
datadog,2495,FALSE,,not_in_csv
scp,2487,FALSE,,not_in_csv
async-http-client,2466,FALSE,,not_in_csv
splunk-devops,2462,FALSE,,not_in_csv
solarized-theme,2450,FALSE,,not_in_csv
show-build-parameters,2446,FALSE,,not_in_csv
gatling,2443,FALSE,,not_in_csv
remote-file,2433,FALSE,,not_in_csv
email-ext-recipients-column,2412,FALSE,,not_in_csv
bitbucket-oauth,2407,FALSE,,not_in_csv
cors-filter,2396,FALSE,,not_in_csv
convert-to-pipeline,2390,FALSE,,not_in_csv
clover,2376,FALSE,,not_in_csv
hashicorp-vault-pipeline,2353,FALSE,,not_in_csv
ansible-tower,2351,FALSE,,not_in_csv
quality-gates,2351,FALSE,,not_in_csv
aws-java-sdk2-ecr,2340,FALSE,,not_in_csv
multibranch-build-strategy-extension,2321,FALSE,,not_in_csv
cppcheck,2257,FALSE,,not_in_csv
checkstyle,2252,FALSE,,not_in_csv
environment-script,2241,FALSE,,not_in_csv
repository-connector,2241,FALSE,,not_in_csv
miniorange-saml-sp,2237,FALSE,,not_in_csv
build-discarder,2222,FALSE,,not_in_csv
pipeline-timeline,2211,FALSE,,not_in_csv
last-changes,2210,FALSE,,not_in_csv
depgraph-view,2203,FALSE,,not_in_csv
dotnet-sdk,2160,FALSE,,not_in_csv
blackduck-detect,2141,FALSE,,not_in_csv
blueocean-executor-info,2113,FALSE,,not_in_csv
byte-buddy-api,2071,FALSE,,not_in_csv
ec2-fleet,2064,FALSE,,not_in_csv
reverse-proxy-auth-plugin,2047,FALSE,,not_in_csv
xml-job-to-job-dsl,2038,FALSE,,not_in_csv
leastload,2026,FALSE,,not_in_csv
snyk-security-scanner,2021,FALSE,,not_in_csv
openJDK-native-plugin,2016,FALSE,,not_in_csv
build-token-trigger,2013,FALSE,,not_in_csv
slave-setup,1969,FALSE,,not_in_csv
git-forensics,1962,FALSE,,not_in_csv
artifact-manager-s3,1939,FALSE,,not_in_csv
npm-yarn-wrapper-steps,1939,FALSE,,not_in_csv
port-allocator,1937,FALSE,,not_in_csv
cloudbees-credentials,1936,FALSE,,not_in_csv
release,1931,FALSE,,not_in_csv
zentimestamp,1924,FALSE,,not_in_csv
maven-invoker-plugin,1922,FALSE,,not_in_csv
mstestrunner,1917,FALSE,,not_in_csv
shelve-project-plugin,1895,FALSE,,not_in_csv
github-autostatus,1894,FALSE,,not_in_csv
matrix-combinations-parameter,1853,FALSE,,not_in_csv
google-metadata-plugin,1851,FALSE,,not_in_csv
cucumber-testresult-plugin,1850,FALSE,,not_in_csv
downstream-buildview,1842,FALSE,,not_in_csv
docker-custom-build-environment,1834,FALSE,,not_in_csv
mattermost,1833,FALSE,,not_in_csv
warnings,1818,FALSE,,not_in_csv
rich-text-publisher-plugin,1812,FALSE,,not_in_csv
fstrigger,1805,FALSE,,not_in_csv
chucknorris,1790,FALSE,,not_in_csv
cmakebuilder,1790,FALSE,,not_in_csv
global-variable-string-parameter,1790,FALSE,,not_in_csv
calendar-view,1778,FALSE,,not_in_csv
project-description-setter,1772,FALSE,,not_in_csv
text-file-operations,1754,FALSE,,not_in_csv
urltrigger,1744,FALSE,,not_in_csv
git-tag-message,1737,FALSE,,not_in_csv
nuget,1735,FALSE,,not_in_csv
multi-branch-project-plugin,1725,FALSE,,not_in_csv
seleniumhtmlreport,1719,FALSE,,not_in_csv
violations,1710,FALSE,,not_in_csv
google-chat-notification,1706,FALSE,,not_in_csv
cron_column,1698,FALSE,,not_in_csv
github-pr-comment-build,1695,FALSE,,not_in_csv
workflow-remote-loader,1689,FALSE,,not_in_csv
jenkins-jira-issue-updater,1686,FALSE,,not_in_csv
confluence-publisher,1685,FALSE,,not_in_csv
maven-metadata-plugin,1685,FALSE,,not_in_csv
sbt,1680,FALSE,,not_in_csv
chromedriver,1671,FALSE,,not_in_csv
opentelemetry,1663,FALSE,,not_in_csv
console-column-plugin,1640,FALSE,,not_in_csv
envfile,1637,FALSE,,not_in_csv
codedeploy,1636,FALSE,,not_in_csv
kpp-management-plugin,1629,FALSE,,not_in_csv
google-play-android-publisher,1625,FALSE,,not_in_csv
openshift-client,1624,FALSE,,not_in_csv
people-view,1623,FALSE,,not_in_csv
declarative-pipeline-migration-assistant-api,1603,FALSE,,not_in_csv
database-mysql,1600,FALSE,,not_in_csv
ldapemail,1597,FALSE,,not_in_csv
maven-dependency-update-trigger,1594,FALSE,,not_in_csv
fail-the-build-plugin,1587,FALSE,,not_in_csv
junit-realtime-test-reporter,1581,FALSE,,not_in_csv
kubernetes-cd,1574,FALSE,,not_in_csv
downstream-build-cache,1569,FALSE,,not_in_csv
browserstack-integration,1563,FALSE,,not_in_csv
build-metrics,1560,FALSE,,not_in_csv
project-stats-plugin,1549,FALSE,,not_in_csv
xray-connector,1549,FALSE,,not_in_csv
text-finder-run-condition,1538,FALSE,,not_in_csv
build-history-metrics-plugin,1531,FALSE,,not_in_csv
secondary-timestamper-plugin,1531,FALSE,,not_in_csv
vsphere-cloud,1531,FALSE,,not_in_csv
aws-lambda,1529,FALSE,,not_in_csv
findbugs,1519,FALSE,,not_in_csv
compact-columns,1501,FALSE,,not_in_csv
run-condition-extras,1499,FALSE,,not_in_csv
splunk-devops-extend,1495,FALSE,,not_in_csv
violation-comments-to-gitlab,1490,FALSE,,not_in_csv
unity3d-plugin,1489,FALSE,,not_in_csv
google-storage-plugin,1479,FALSE,,not_in_csv
pmd,1477,FALSE,,not_in_csv
filesystem-list-parameter-plugin,1472,FALSE,,not_in_csv
slave-status,1472,FALSE,,not_in_csv
android-emulator,1471,FALSE,,not_in_csv
clone-workspace-scm,1449,FALSE,,not_in_csv
buildresult-trigger,1443,FALSE,,not_in_csv
discord-notifier,1443,FALSE,,not_in_csv
build-notifications,1440,FALSE,,not_in_csv
maven-repo-cleaner,1435,FALSE,,not_in_csv
svncompat14,1434,FALSE,,not_in_csv
fortify,1431,FALSE,,not_in_csv
image-tag-parameter,1416,FALSE,,not_in_csv
pipeline-config-history,1398,FALSE,,not_in_csv
codesonar,1397,FALSE,,not_in_csv
sonargraph-integration,1383,FALSE,,not_in_csv
vstestrunner,1383,FALSE,,not_in_csv
disable-job-button,1376,FALSE,,not_in_csv
sqlplus-script-runner,1369,FALSE,,not_in_csv
custom-folder-icon,1368,FALSE,,not_in_csv
ez-templates,1363,FALSE,,not_in_csv
yet-another-build-visualizer,1361,FALSE,,not_in_csv
keycloak,1355,FALSE,,not_in_csv
template-project,1348,FALSE,,not_in_csv
test-results-aggregator,1345,FALSE,,not_in_csv
pipeline-cps-http,1339,FALSE,,not_in_csv
multiselect-parameter,1326,FALSE,,not_in_csv
any-buildstep,1325,FALSE,,not_in_csv
pollscm,1308,FALSE,,not_in_csv
scoring-load-balancer,1301,FALSE,,not_in_csv
artifact-promotion,1299,FALSE,,not_in_csv
modernstatus,1283,FALSE,,not_in_csv
sloccount,1280,FALSE,,not_in_csv
downstream-ext,1270,FALSE,,not_in_csv
groovy-label-assignment,1269,FALSE,,not_in_csv
aws-codebuild,1264,FALSE,,not_in_csv
summary_report,1251,FALSE,,not_in_csv
scm-sync-configuration,1245,FALSE,,not_in_csv
aws-bucket-credentials,1241,FALSE,,not_in_csv
azure-keyvault,1236,FALSE,,not_in_csv
sonar-gerrit,1233,FALSE,,not_in_csv
instant-messaging,1232,FALSE,,not_in_csv
jobcacher,1231,FALSE,,not_in_csv
clearcase,1224,FALSE,,not_in_csv
windows-azure-storage,1224,FALSE,,not_in_csv
azure-cli,1223,FALSE,,not_in_csv
github-pr-coverage-status,1208,FALSE,,not_in_csv
ownership,1204,FALSE,,not_in_csv
readonly-parameters,1202,FALSE,,not_in_csv
google-compute-engine,1200,FALSE,,not_in_csv
declarative-pipeline-migration-assistant,1195,FALSE,,not_in_csv
